supplement_name,symptom_name,context
Tea tree oil,Dryness,side_effect
Tea tree oil,Confusion,side_effect
Tea tree oil,"Problems With Muscle Control And Movement, Called Ataxia",side_effect
Tea tree oil,Problems Breathing,side_effect
Tea tree oil,Higher White Blood Cell Count,side_effect
Tea tree oil,"A Deep State Of Sleep Where A Person Doesn'T Respond, Called Coma",side_effect
Vitamin A,Nausea,side_effect
Vitamin A,Vomiting,side_effect
Vitamin A,Fatigue,side_effect
Vitamin A,Dizziness,side_effect
Vitamin A,Blurry Vision,side_effect
Vitamin A,Balance Issues,side_effect
Vitamin A,Liver Damage,side_effect
Vitamin A,Headache,side_effect
Vitamin A,Nausea,side_effect
Vitamin A,Hair Loss,side_effect
Vitamin A,Dry Skin,side_effect
Vitamin A,Pain In The Joints And Bones,side_effect
Vitamin A,"Rarely, Death",side_effect
Vitamin B-6,A Lack Of Muscle Control Or Coordination Of Voluntary Movements,side_effect
Vitamin B-6,"Painful, Disfiguring Skin Lesions",side_effect
Vitamin B-6,Heartburn And Nausea,side_effect
Vitamin B-6,Sensitivity To Sunlight,side_effect
Vitamin B-6,Numbness,side_effect
Vitamin B-6,Reduced Ability To Sense Pain Or Extreme Temperatures,side_effect
Vitamin B-12,Headache,side_effect
Vitamin B-12,Nausea,side_effect
Vitamin B-12,Diarrhea,side_effect
Vitamin B-12,Weakness,side_effect
Vitamin B-12,Tingling Sensation In Hands And Feet,side_effect
Vitamin C,Side Effects,side_effect
Vitamin C,"Upset Stomach, Vomiting And Loose Stools",side_effect
Vitamin C,Heartburn,side_effect
Vitamin C,Stomach Cramps Or Bloating,side_effect
Vitamin C,"Tiredness And Sleepiness Or Not Being Able To Sleep, Called Insomnia",side_effect
Vitamin C,Headache,side_effect
Vitamin C,Kidney Stones,side_effect
Vitamin C,Serious Side Effects,side_effect
Vitamin C,G6Pdh Deficiency,side_effect
Vitamin C,Blood Sugar Screening Tests Or Stool Tests For Hidden Blood,side_effect
Vitamin C,Occult Blood,side_effect
Vitamin D,Upset Stomach And Vomiting,side_effect
Vitamin D,Weight Loss And Not Wanting To Eat,side_effect
Vitamin D,Muscle Weakness,side_effect
Vitamin D,Not Being Able To Think Clearly Or Quickly,side_effect
Vitamin D,Heart Rhythm Issues,side_effect
Vitamin D,Kidney Stones And Kidney Damage,side_effect
Vitamin E,Upset Stomach,side_effect
Vitamin E,Loose Stools,side_effect
Vitamin E,Belly Cramps,side_effect
Vitamin E,Tiredness,side_effect
Vitamin E,Weakness,side_effect
Vitamin E,Headache,side_effect
Vitamin E,Blurred Vision,side_effect
Vitamin E,Rash,side_effect
Vitamin E,Side Effects,side_effect
Vitamin E,Death,side_effect
Vitamin E,Prostate Cancer,side_effect
Vitamin E,Too Little Vitamin K,side_effect
Vitamin E,"An Eye Condition In Which The Retina Is Damaged, Called Retinitis Pigmentosa",side_effect
Vitamin E,Bleeding Conditions,side_effect
Vitamin E,Diabetes,side_effect
Vitamin E,A History Of Heart Attack Or Stroke,side_effect
Vitamin E,Head And Neck Cancer,side_effect
Vitamin E,Liver Disease,side_effect
Vitamin E,Bleeding,side_effect
Vitamin E,Angioplasty,side_effect
Zinc,Diarrhea,side_effect
Zinc,Dizziness,side_effect
Zinc,Headache,side_effect
Zinc,Nausea,side_effect
Zinc,Upset Stomach,side_effect
Zinc,Vomiting,side_effect
Zinc,Copper Deficiency,side_effect
Zinc,Intranasal Zinc,side_effect
