drug_id,category_id
DB00019,C00143
DB00019,C00162
DB00019,C00144
DB00019,C00145
DB00019,C00163
DB00019,C00050
DB00019,C00164
DB00019,C00112
DB00019,C00114
DB00019,C00010
DB00019,C00115
DB00019,C00012
DB00020,C00094
DB00020,C00001
DB00020,C00021
DB00020,C00047
DB00020,C00139
DB00020,C00140
DB00020,C00104
DB00020,C00142
DB00020,C00143
DB00020,C00165
DB00020,C00145
DB00020,C00066
DB00020,C00163
DB00020,C00050
DB00020,C00164
DB00020,C00010
DB00020,C00012
DB00022,C00094
DB00022,C00095
DB00022,C00096
DB00022,C00001
DB00022,C00097
DB00022,C00021
DB00022,C00098
DB00022,C00047
DB00022,C00023
DB00022,C00100
DB00022,C00101
DB00022,C00102
DB00022,C00166
DB00022,C00167
DB00022,C00168
DB00022,C00169
DB00022,C00170
DB00022,C00103
DB00022,C00104
DB00022,C00105
DB00022,C00106
DB00022,C00107
DB00022,C00171
DB00022,C00067
DB00022,C00030
DB00022,C00050
DB00022,C00109
DB00022,C00110
DB00022,C00160
DB00022,C00111
DB00022,C00112
DB00022,C00113
DB00022,C00114
DB00022,C00010
DB00022,C00115
DB00022,C00012
DB00022,C00116
DB00023,C00172
DB00023,C00019
DB00023,C00021
DB00023,C00173
DB00023,C00174
DB00023,C00039
DB00023,C00040
DB00023,C00043
DB00023,C00032
DB00023,C00175
DB00024,C00176
DB00024,C00128
DB00024,C00131
DB00024,C00132
DB00024,C00133
DB00024,C00134
DB00024,C00177
DB00024,C00178
DB00024,C00136
DB00024,C00159
DB00025,C00001
DB00025,C00047
DB00025,C00005
DB00025,C00179
DB00025,C00022
DB00025,C00139
DB00025,C00180
DB00025,C00181
DB00025,C00182
DB00025,C00183
DB00025,C00184
DB00025,C00185
DB00025,C00186
DB00025,C00187
DB00025,C00012
DB00026,C00055
DB00026,C00001
DB00026,C00021
DB00026,C00057
DB00026,C00047
DB00026,C00059
DB00026,C00104
DB00026,C00061
DB00026,C00067
DB00026,C00030
DB00026,C00050
DB00026,C00188
DB00026,C00189
DB00026,C00010
DB00026,C00012
DB00027,C00001
DB00027,C00190
DB00027,C00097
DB00027,C00191
