drug_id,salt_id
DB00383,SAL0291
DB00387,SAL0292
DB00388,SAL0293
DB00388,SAL0294
DB00388,SAL0295
DB00392,SAL0296
DB00394,SAL0297
DB00397,SAL0298
DB00398,SAL0299
DB00399,SAL0300
DB00399,SAL0301
DB00399,SAL0302
DB00399,SAL0303
DB00399,SAL0304
DB00403,SAL0305
DB00405,SAL0306
DB00406,SAL0307
DB00408,SAL0308
DB00408,SAL0309
DB00409,SAL0310
DB00410,SAL0311
DB00411,SAL0312
DB00412,SAL0313
DB00413,SAL0314
DB00413,SAL0315
DB00415,SAL0316
DB00415,SAL0317
DB00417,SAL0318
DB00417,SAL0319
DB00418,SAL0320
DB00419,SAL0321
DB00420,SAL0322
DB00422,SAL0323
DB00424,SAL0324
DB00424,SAL0325
DB00424,SAL0326
DB00425,SAL0327
DB00427,SAL0328
DB00427,SAL0329
DB00430,SAL0330
DB00433,SAL0331
DB00433,SAL0332
DB00433,SAL0333
DB00434,SAL0334
DB00437,SAL0335
DB00438,SAL0336
DB00438,SAL0337
DB00439,SAL0338
DB00440,SAL0339
DB00440,SAL0340
DB00441,SAL0341
DB00442,SAL0342
DB00442,SAL0343
DB00443,SAL0344
DB00443,SAL0345
DB00443,SAL0346
DB00443,SAL0347
DB00443,SAL0348
DB00445,SAL0349
DB00447,SAL0350
DB00449,SAL0351
DB00451,SAL0352
DB00451,SAL0353
DB00452,SAL0354
DB00454,SAL0355
DB00456,SAL0356
DB00457,SAL0357
DB00458,SAL0358
DB00458,SAL0359
DB00465,SAL0360
DB00468,SAL0361
DB00468,SAL0362
DB00468,SAL0363
DB00468,SAL0364
DB00471,SAL0365
DB00472,SAL0366
DB00473,SAL0367
DB00474,SAL0368
DB00475,SAL0369
DB00476,SAL0370
DB00477,SAL0371
DB00478,SAL0372
DB00479,SAL0373
DB00480,SAL0374
DB00481,SAL0375
DB00484,SAL0376
DB00485,SAL0377
DB00485,SAL0378
DB00487,SAL0379
DB00487,SAL0380
DB00489,SAL0381
DB00490,SAL0382
DB00492,SAL0383
DB00493,SAL0384
DB00496,SAL0385
DB00497,SAL0386
DB00497,SAL0387
DB00500,SAL0388
DB00501,SAL0389
DB00502,SAL0390
DB00502,SAL0391
DB00504,SAL0392
DB00505,SAL0393
DB00508,SAL0394
DB00509,SAL0395
DB00512,SAL0396
DB00514,SAL0397
DB00514,SAL0398
DB00514,SAL0399
DB00514,SAL0400
DB00519,SAL0401
DB00520,SAL0402
DB00521,SAL0403
DB00527,SAL0404
DB00528,SAL0405
DB00529,SAL0406
DB00530,SAL0407
DB00531,SAL0408
DB00535,SAL0409
DB00536,SAL0410
DB00537,SAL0411
DB00537,SAL0412
DB00539,SAL0413
DB00540,SAL0414
DB00541,SAL0415
DB00542,SAL0416
DB00544,SAL0417
DB00545,SAL0418
DB00545,SAL0419
DB00546,SAL0420
DB00557,SAL0421
DB00557,SAL0422
DB00559,SAL0423
DB00561,SAL0424
DB00563,SAL0425
DB00565,SAL0426
DB00567,SAL0427
DB00567,SAL0428
DB00567,SAL0429
DB00568,SAL0430
DB00569,SAL0431
DB00570,SAL0432
DB00571,SAL0433
DB00572,SAL0434
DB00572,SAL0435
DB00572,SAL0436
DB00573,SAL0437
DB00573,SAL0438
DB00574,SAL0439
DB00575,SAL0440
DB00577,SAL0441
DB00577,SAL0442
DB00578,SAL0443
DB00579,SAL0444
DB00583,SAL0445
DB00583,SAL0446
DB00583,SAL0447
DB00584,SAL0448
DB00584,SAL0449
DB00586,SAL0450
DB00586,SAL0451
DB00586,SAL0452
DB00586,SAL0453
DB00586,SAL0454
DB00589,SAL0455
DB00590,SAL0456
DB00592,SAL0457
DB00592,SAL0458
DB00592,SAL0459
DB00592,SAL0460
DB00592,SAL0461
DB00592,SAL0462
DB00592,SAL0463
DB00592,SAL0464
DB00594,SAL0465
DB00594,SAL0466
DB00595,SAL0467
DB00595,SAL0468
DB00595,SAL0469
DB00595,SAL0470
DB00596,SAL0471
DB00598,SAL0472
DB00599,SAL0473
DB00604,SAL0474
DB00605,SAL0475
DB00607,SAL0476
DB00608,SAL0477
DB00608,SAL0478
DB00608,SAL0479
DB00610,SAL0480
DB00611,SAL0481
DB00612,SAL0482
DB00613,SAL0483
DB00613,SAL0484
DB00618,SAL0485
DB00618,SAL0486
DB00619,SAL0487
DB00620,SAL0488
DB00620,SAL0489
DB00620,SAL0490
DB00622,SAL0491
DB00623,SAL0492
DB00623,SAL0493
DB00623,SAL0494
DB00626,SAL0495
DB00626,SAL0496
DB00628,SAL0497
DB00629,SAL0498
DB00630,SAL0499
DB00630,SAL0500
DB00630,SAL0501
DB00630,SAL0502
DB00633,SAL0503
DB00634,SAL0504
DB00639,SAL0505
DB00642,SAL0506
DB00642,SAL0507
DB00642,SAL0508
DB00642,SAL0509
DB00642,SAL0510
DB00644,SAL0511
DB00644,SAL0512
DB00644,SAL0513
DB00645,SAL0514
DB00646,SAL0515
DB00647,SAL0516
DB00647,SAL0517
DB00650,SAL0518
DB00650,SAL0519
DB00650,SAL0520
DB00652,SAL0521
DB00652,SAL0522
DB00653,SAL0523
DB00653,SAL0524
DB00653,SAL0525
DB00656,SAL0526
DB00657,SAL0527
DB00658,SAL0528
DB00658,SAL0529
DB00659,SAL0530
DB00661,SAL0531
DB00662,SAL0532
DB00663,SAL0533
DB00663,SAL0534
DB00666,SAL0535
DB00668,SAL0536
DB00668,SAL0537
DB00668,SAL0538
DB00669,SAL0539
DB00669,SAL0540
DB00670,SAL0541
DB00671,SAL0542
DB00674,SAL0543
DB00675,SAL0544
DB00678,SAL0545
DB00679,SAL0546
DB00680,SAL0547
DB00681,SAL0548
DB00681,SAL0549
DB00682,SAL0550
DB00682,SAL0551
DB00683,SAL0552
DB00683,SAL0553
DB00684,SAL0554
DB00684,SAL0555
DB00685,SAL0556
DB00685,SAL0557
DB00686,SAL0558
DB00686,SAL0559
DB00687,SAL0560
DB00688,SAL0561
DB00689,SAL0562
DB00689,SAL0563
DB00690,SAL0564
DB00691,SAL0565
DB00692,SAL0566
DB00693,SAL0567
DB00694,SAL0568
DB00694,SAL0569
DB00695,SAL0570
DB00696,SAL0571
DB00697,SAL0572
DB00698,SAL0573
DB00698,SAL0574
DB00704,SAL0575
DB00705,SAL0576
DB00706,SAL0577
DB00708,SAL0578
DB00710,SAL0579
DB00711,SAL0580
DB00712,SAL0581
DB00713,SAL0582
DB00713,SAL0583
DB00714,SAL0584
DB00715,SAL0585
DB00715,SAL0586
DB00715,SAL0587
DB00716,SAL0588
DB00717,SAL0589
DB00719,SAL0590
DB00720,SAL0591
DB00721,SAL0592
DB00721,SAL0593
DB00721,SAL0594
DB00722,SAL0595
DB00723,SAL0596
DB00726,SAL0597
DB00726,SAL0598
DB00728,SAL0599
DB00733,SAL0600
DB00733,SAL0601
DB00734,SAL0602
DB00735,SAL0603
DB00736,SAL0604
DB00736,SAL0605
DB00736,SAL0606
DB00736,SAL0607
DB00736,SAL0608
DB00736,SAL0609
DB00737,SAL0610
DB00738,SAL0611
DB00738,SAL0612
DB00738,SAL0613
DB00739,SAL0614
DB00740,SAL0615
DB00743,SAL0616
DB00746,SAL0617
DB00746,SAL0618
DB00748,SAL0619
DB00750,SAL0620
DB00751,SAL0621
DB00752,SAL0622
DB00757,SAL0623
DB00758,SAL0624
DB00758,SAL0625
DB00758,SAL0626
DB00758,SAL0627
DB00759,SAL0628
DB00759,SAL0629
DB00760,SAL0630
DB00760,SAL0631
DB00762,SAL0632
DB00762,SAL0633
DB00762,SAL0634
DB00766,SAL0635
DB00767,SAL0636
DB00768,SAL0637
DB00769,SAL0638
DB00771,SAL0639
DB00773,SAL0640
DB00775,SAL0641
DB00777,SAL0642
DB00780,SAL0643
DB00782,SAL0644
DB00783,SAL0645
DB00787,SAL0646
DB00788,SAL0647
DB00789,SAL0648
DB00790,SAL0649
DB00790,SAL0650
DB00790,SAL0651
DB00792,SAL0652
DB00792,SAL0653
DB00797,SAL0654
DB00798,SAL0655
DB00800,SAL0656
DB00802,SAL0657
DB00803,SAL0658
DB00804,SAL0659
DB00805,SAL0660
DB00807,SAL0661
DB00810,SAL0662
DB00810,SAL0663
DB00813,SAL0664
DB00813,SAL0665
DB00816,SAL0666
DB00819,SAL0667
DB00828,SAL0668
DB00828,SAL0669
DB00828,SAL0670
DB00829,SAL0671
DB00830,SAL0672
DB00831,SAL0673
DB00833,SAL0674
DB00835,SAL0675
DB00836,SAL0676
DB00838,SAL0677
DB00841,SAL0678
DB00841,SAL0679
DB00843,SAL0680
DB00843,SAL0681
DB00844,SAL0682
DB00847,SAL0683
DB00847,SAL0684
DB00848,SAL0685
DB00848,SAL0686
DB00848,SAL0687
DB00852,SAL0688
DB00852,SAL0689
DB00854,SAL0690
DB00855,SAL0691
DB00857,SAL0692
DB00862,SAL0693
DB00863,SAL0694
DB00863,SAL0695
DB00864,SAL0696
DB00865,SAL0697
DB00866,SAL0698
DB00867,SAL0699
DB00869,SAL0700
DB00871,SAL0701
DB00872,SAL0702
DB00875,SAL0703
DB00875,SAL0704
DB00876,SAL0705
DB00876,SAL0706
DB00878,SAL0707
DB00878,SAL0708
DB00878,SAL0709
DB00880,SAL0710
DB00881,SAL0711
DB00882,SAL0712
DB00884,SAL0713
DB00884,SAL0714
DB00884,SAL0715
