drug_id,synonym_id
DB00040,SYN00290
DB00040,SYN00291
DB00040,SYN00292
DB00040,SYN00293
DB00040,SYN00294
DB00040,SYN00295
DB00041,SYN00296
DB00041,SYN00297
DB00041,SYN00298
DB00041,SYN00299
DB00041,SYN00300
DB00041,SYN00301
DB00041,SYN00302
DB00041,SYN00303
DB00041,SYN00304
DB00041,SYN00305
DB00041,SYN00306
DB00042,SYN00307
DB00042,SYN00308
DB00042,SYN00309
DB00042,SYN00310
DB00042,SYN00311
DB00042,SYN00312
DB00042,SYN00313
DB00042,SYN00314
DB00043,SYN00315
DB00043,SYN00316
DB00044,SYN00317
DB00044,SYN00318
DB00044,SYN00319
DB00044,SYN00320
DB00044,SYN00321
DB00045,SYN00322
DB00045,SYN00323
DB00045,SYN00324
DB00045,SYN00325
DB00046,SYN00326
DB00046,SYN00327
DB00046,SYN00328
DB00046,SYN00329
DB00046,SYN00330
DB00046,SYN00331
DB00046,SYN00332
DB00046,SYN00333
DB00046,SYN00334
DB00046,SYN00335
DB00046,SYN00336
DB00047,SYN00337
DB00047,SYN00338
DB00047,SYN00339
DB00047,SYN00340
DB00047,SYN00341
DB00048,SYN00342
DB00048,SYN00343
DB00048,SYN00344
DB00048,SYN00345
DB00048,SYN00346
DB00049,SYN00347
DB00049,SYN00348
DB00049,SYN00349
DB00049,SYN00350
DB00050,SYN00351
DB00050,SYN00352
DB00051,SYN00353
DB00051,SYN00354
DB00051,SYN00355
DB00051,SYN00356
DB00051,SYN00357
DB00051,SYN00358
DB00051,SYN00359
DB00051,SYN00360
DB00051,SYN00361
DB00052,SYN00362
DB00052,SYN00363
DB00052,SYN00364
DB00052,SYN00365
DB00052,SYN00366
DB00052,SYN00367
DB00052,SYN00368
DB00052,SYN00369
DB00052,SYN00370
DB00052,SYN00371
DB00052,SYN00372
DB00052,SYN00373
DB00052,SYN00374
DB00052,SYN00375
DB00052,SYN00376
DB00052,SYN00377
DB00053,SYN00378
DB00053,SYN00379
DB00054,SYN00380
DB00054,SYN00381
DB00054,SYN00382
DB00055,SYN00383
DB00055,SYN00384
DB00055,SYN00385
DB00055,SYN00386
DB00055,SYN00387
DB00055,SYN00388
DB00055,SYN00389
DB00055,SYN00390
DB00056,SYN00391
